"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"131",1626,180000303,2018-01-11,"2018","01","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Waldorf","Charles","MD","Black","Woman",20,"18-29","Officer"
"132",1627,180001343,2018-01-10,"2018","01","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",22,"18-29","Officer"
"133",1628,180000333,2018-01-05,"2018","01","Traffic","Part II - Vice","CA","Arrest","CDS: Prescription","Ward 6","OOC","Washington","DC","DC","Black","Man",27,"18-29","Detail"
"134",1629,170551348,2017-12-31,"2017","12","Traffic","Part II - Vice","CA","Arrest","CDS: Felony Marijuana","Ward 5","OOC","Washington","DC","DC","Black","Man",23,"18-29","Detail"
"135",1630,170549996,2017-12-25,"2017","12","Traffic","Part II - Safety","CA","Arrest","Weapons Violation","Ward 6","OOC","Bowie","Prince George's","MD","Black","Man",23,"18-29","Detail"
"136",1631,170550459,2017-12-24,"2017","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",34,"30-39","Detail"
"137",1632,170548690,2017-12-17,"2017","12","Traffic","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","OOC","Annandale","VA","VA","Hispanic","Man",21,"18-29","Officer"
"138",1633,170548862,2017-12-16,"2017","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","OOC","Adelphi","Prince George's","MD","White","Man",37,"30-39","Public"
"139",1634,170547786,2017-12-11,"2017","12","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Baltimore","Baltimore","MD","Black","Woman",48,"40-49","Officer"
"140",1635,170547693,2017-12-10,"2017","12","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Lanham","Prince George's","MD","Hispanic","Man",18,"18-29","Officer"
"141",1636,170547720,2017-12-10,"2017","12","Traffic","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",31,"30-39","Officer"
"142",1637,170540278,2017-12-08,"2017","12","Traffic","Part II - Vice","CA","Arrest","CDS: PCP","Ward 5","OOC","Columbia","Howard","MD","Black","Man",54,"50-59","Detail"
"143",1638,170546302,2017-12-04,"2017","12","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 2","OOC","Silver Spring","Montgomery","MD","Hispanic","Man",18,"18-29","Public"
"144",1639,170545935,2017-12-01,"2017","12","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Glen Burnie","Anne Arundel","MD","Hispanic","Man",27,"18-29","Officer"
"145",1640,170544353,2017-11-28,"2017","11","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 5","Ward 6","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",38,"30-39","Public"
"146",1641,170545094,2017-11-27,"2017","11","Traffic","Part II - Safety","CA","Arrest","DUI","Ward 6","OOC","Washington","DC","DC","Hispanic","Man",41,"40-49","Public"
"147",1642,170544913,2017-11-26,"2017","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","OOC","OOC","Washington","DC","DC","Black","Woman",23,"18-29","Detail"
"148",1643,170544913,2017-11-26,"2017","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","OOC","OOC","Alexandria","VA","VA","Hispanic","Man",26,"18-29","Detail"
"149",1644,170544913,2017-11-26,"2017","11","Traffic","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","OOC","OOC","Alexandria","VA","VA","Hispanic","Man",28,"18-29","Detail"
