"","unique_id","report.","date","year","month","overall_type","category","type","type_desc","offense","i.ward","a.ward","a.city","a.county","a.state","a.race","a.gender","a.age","age_range","initiated"
"578",578,180008460,2018-02-18,"2018","02","Crime","Part II - Violent","APP","Application for charges","Assault","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",34,"30-39","Public"
"579",579,170532903,2018-02-16,"2018","02","Crime","Part I - Property","APP","Application for charges","Burglary","Ward 2","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",24,"18-29","Public"
"580",580,180006993,2018-02-13,"2018","02","Crime","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",21,"18-29","Detail"
"581",581,180006993,2018-02-13,"2018","02","Crime","Part II - Vice","CA","Arrest","CDS: Marijuana","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",16,"10-17","Detail"
"582",582,170524061,2018-02-03,"2018","02","Crime","Part I - Violent","APP","Application for charges","Aggravated Assault","Ward 4","Ward 4","Takoma Park","Takoma Park (MC)","MD","Black","Man",30,"30-39","Public"
"583",583,180005251,2018-02-03,"2018","02","Crime","Part I - Violent","APP","Application for charges","Aggravated Assault","Ward 3","Ward 3","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",38,"30-39","Public"
"584",584,180005887,2018-02-03,"2018","02","Crime","Part II - Violent","APP","Application for charges","Assault","Ward 5","OOC","TP unincorporated (MC)","Montgomery","MD","Hispanic","Woman",30,"30-39","Public"
"585",585,180003970,2018-01-31,"2018","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",31,"30-39","Officer"
"586",586,180000790,2018-01-30,"2018","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Waldorf","Charles","MD","Black","Woman",20,"18-29","Officer"
"587",587,180001972,2018-01-30,"2018","01","Crime","Miscellaneous","CA","Arrest","All Other - Criminal","Ward 6","OOC","District Heights","Prince George's","MD","Black","Man",23,"18-29","Detail"
"588",588,180002500,2018-01-30,"2018","01","Crime","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 3","OOC","Silver Spring","Montgomery","MD","White","Man",27,"18-29","Public"
"589",589,180004069,2018-01-30,"2018","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","Ward 1","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",37,"30-39","Self"
"590",590,180004353,2018-01-30,"2018","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","UNK","UNK","UNK","UNK","Black","Woman",27,"18-29","Officer"
"591",591,180005142,2018-01-30,"2018","01","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 1","OOC","Adelphi","Prince George's","MD","Hispanic","Man",18,"18-29","Self"
"592",592,180004273,2018-01-25,"2018","01","Crime","Part II - Violent","APP","Application for charges","Assault","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Woman",19,"18-29","Public"
"593",593,180003759,2018-01-24,"2018","01","Crime","Part I - Property","CA","Arrest","Burglary","Ward 2","Ward 2","Takoma Park","Takoma Park (MC)","MD","White","Man",36,"30-39","Public"
"594",594,180003986,2018-01-24,"2018","01","Crime","Part I - Violent","CA","Arrest","Aggravated Assault","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",28,"18-29","Public"
"595",595,180003518,2018-01-22,"2018","01","Crime","Part I - Violent","CA","Arrest","Robbery","Ward 2","OOC","Hyattsville","Prince George's","MD","Hispanic","Man",46,"40-49","Public"
"596",596,180003262,2018-01-20,"2018","01","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 6","OOC","Silver Spring","Montgomery","MD","Black","Man",61,"60-69","Officer"
"597",597,170511262,2018-01-16,"2018","01","Crime","Part II - Vice","APP","Application for charges","CDS: Felony Marijuana","Ward 6","Ward 6","Takoma Park","Takoma Park (MC)","MD","Black","Man",50,"50-59","Detail"
"598",598,180002529,2018-01-16,"2018","01","Crime","Part I - Property","APP","Application for charges","Burglary","Ward 2","OOC","Silver Spring","Montgomery","MD","Black","Man",37,"30-39","Public"
"599",599,180002295,2018-01-15,"2018","01","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 1","OOC","Manassas","OOS","VA","Black","Man",36,"30-39","Public"
"600",600,170551120,2017-12-29,"2017","12","Crime","Part II - Violent","CA","Arrest","Assault","Ward 5","OOC","Washington","DC","DC","White","Woman",54,"50-59","Public"
"601",601,170549327,2017-12-24,"2017","12","Crime","Part II - Property","JVR","Juvenile referral","Fraud","Ward 1","OOC","Silver Spring","Montgomery","MD","Black","Man",13,"10-17","Public"
"602",602,170550302,2017-12-24,"2017","12","Crime","Part II - Vice","CA","Arrest","CDS: Cocaine","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",33,"30-39","Public"
"603",603,170550302,2017-12-24,"2017","12","Crime","Part II - Vice","CRC","Criminal citation","CDS: Paraphernalia","Ward 5","UNK","UNK","UNK","UNK","Black","Woman",39,"30-39","Public"
"604",604,170549751,2017-12-21,"2017","12","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",42,"40-49","Public"
"605",605,170549801,2017-12-21,"2017","12","Crime","Part II - Safety","CA","Arrest","Peace/Protection Order","Ward 6","Ward 5","Takoma Park","Takoma Park (MC)","MD","White","Woman",25,"18-29","Public"
"606",606,170549623,2017-12-20,"2017","12","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 5","OOC","Silver Spring","Montgomery","MD","Black","Man",51,"50-59","Detail"
"607",607,170548915,2017-12-16,"2017","12","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",43,"40-49","Public"
"608",608,170527901,2017-12-13,"2017","12","Crime","Miscellaneous","SVC","Warrant-service arrest","Warrant Service","Ward 6","OOC","Washington","DC","DC","Black","Woman",24,"18-29","Officer"
"609",609,170547979,2017-12-11,"2017","12","Crime","Part II - Violent","CA","Arrest","Assault","Ward 5","Ward 5","Takoma Park","Takoma Park (MC)","MD","Hispanic","Man",24,"18-29","Public"
"610",610,170542773,2017-12-10,"2017","12","Crime","Part II - Nuisance","CA","Arrest","Trespassing","Ward 6","UNK","UNK","UNK","UNK","Black","Man",22,"18-29","Public"
"611",611,170547780,2017-12-10,"2017","12","Crime","Part II - Nuisance","CRC","Criminal citation","Disorderly Conduct","Ward 6","OOC","Adelphi","Prince George's","MD","Hispanic","Man",25,"18-29","Officer"
